First_name,Last_name,DOB,Gender,Type,Term_start,Term_end,State
Richard,Bassett,1745-04-02,M,sen,1789-03-04,1793-03-03,DE
Theodorick,Bland,1742-03-21,M,rep,1789-03-04,1791-03-03,VA
Aedanus,Burke,1743-06-16,M,rep,1789-03-04,1791-03-03,SC
Daniel,Carroll,1730-07-22,M,rep,1789-03-04,1791-03-03,MD
George,Clymer,1739-03-16,M,rep,1789-03-04,1791-03-03,PA
Benjamin,Contee,#N/A,M,rep,1789-03-04,1791-03-03,MD
Tristram,Dalton,1738-05-28,M,sen,1789-03-04,1791-03-03,MA
Jonathan,Elmer,1745-11-29,M,sen,1789-03-04,1791-03-03,NJ
William,Few,1748-06-08,M,sen,1789-03-04,1793-03-03,GA
William,Floyd,1734-12-17,M,rep,1789-03-04,1791-03-03,NY
George,Gale,1756-06-03,M,rep,1789-03-04,1791-03-03,MD
William,Grayson,#N/A,M,sen,1789-03-04,1791-03-03,VA
Jonathan,Grout,1737-07-23,M,rep,1789-03-04,1791-03-03,MA
Benjamin,Hawkins,1754-08-15,M,sen,1789-03-04,1795-03-03,NC
Benjamin,Huntington,1736-04-19,M,rep,1789-03-04,1791-03-03,CT
Ralph,Izard,#N/A,M,sen,1789-03-04,1795-03-03,SC
William,Johnson,1727-10-07,M,sen,1789-03-04,1791-12-31,CT
Samuel,Johnston,1733-12-15,M,sen,1789-03-04,1793-03-03,NC
Richard,Lee,1732-01-20,M,sen,1789-03-04,1793-03-03,VA
William,Maclay,1737-07-20,M,sen,1789-03-04,1791-03-03,PA
George,Mathews,1739-08-30,M,rep,1789-03-04,1791-03-03,GA
Robert,Morris,1734-01-20,M,sen,1789-03-04,1795-03-03,PA
George,Partridge,1740-02-08,M,rep,1789-03-04,1791-03-03,MA
William,Paterson,1745-12-24,M,sen,1789-03-04,1791-03-03,NJ
William,Smith,1728-04-12,M,rep,1789-03-04,1791-03-03,MD
Michael,Stone,#N/A,M,rep,1789-03-04,1791-03-03,MD
Jeremiah,Van Rensselaer,1738-08-27,M,rep,1789-03-04,1791-03-03,NY
Henry,Wynkoop,1737-03-02,M,rep,1789-03-04,1791-03-03,PA
